date_key,date,year,month,day,quarter,day_of_week,month_name,week_of_year
20160811,2016-08-11,2016,8,11,3,Thursday,August,32
20161021,2016-10-21,2016,10,21,4,Friday,October,42
20171122,2017-11-22,2017,11,22,4,Wednesday,November,47
20171125,2017-11-25,2017,11,25,4,Saturday,November,47
20160104,2016-01-04,2016,1,4,1,Monday,January,1
20161121,2016-11-21,2016,11,21,4,Monday,November,47
20170323,2017-03-23,2017,3,23,1,Thursday,March,12
20170908,2017-09-08,2017,9,8,3,Friday,September,36
20171015,2017-10-15,2017,10,15,4,Sunday,October,41
20171107,2017-11-07,2017,11,7,4,Tuesday,November,45
20180411,2018-04-11,2018,4,11,2,Wednesday,April,15
20180414,2018-04-14,2018,4,14,2,Saturday,April,15
20160118,2016-01-18,2016,1,18,1,Monday,January,3
20160617,2016-06-17,2016,6,17,2,Friday,June,24
20160804,2016-08-04,2016,8,4,3,Thursday,August,31
20161113,2016-11-13,2016,11,13,4,Sunday,November,45
20170107,2017-01-07,2017,1,7,1,Saturday,January,1
20170219,2017-02-19,2017,2,19,1,Sunday,February,7
20170330,2017-03-30,2017,3,30,1,Thursday,March,13
20170505,2017-05-05,2017,5,5,2,Friday,May,18
20170905,2017-09-05,2017,9,5,3,Tuesday,September,36
20180228,2018-02-28,2018,2,28,1,Wednesday,February,9
20160918,2016-09-18,2016,9,18,3,Sunday,September,37
20160202,2016-02-02,2016,2,2,1,Tuesday,February,5
20160514,2016-05-14,2016,5,14,2,Saturday,May,19
20160602,2016-06-02,2016,6,2,2,Thursday,June,22
20160720,2016-07-20,2016,7,20,3,Wednesday,July,29
20160915,2016-09-15,2016,9,15,3,Thursday,September,37
20160924,2016-09-24,2016,9,24,3,Saturday,September,38
20170205,2017-02-05,2017,2,5,1,Sunday,February,5
20171229,2017-12-29,2017,12,29,4,Friday,December,52
20180322,2018-03-22,2018,3,22,1,Thursday,March,12
20160714,2016-07-14,2016,7,14,3,Thursday,July,28
20170404,2017-04-04,2017,4,4,2,Tuesday,April,14
20170706,2017-07-06,2017,7,6,3,Thursday,July,27
20170902,2017-09-02,2017,9,2,3,Saturday,September,35
20171011,2017-10-11,2017,10,11,4,Wednesday,October,41
20180214,2018-02-14,2018,2,14,1,Wednesday,February,7
20160328,2016-03-28,2016,3,28,1,Monday,March,13
20160419,2016-04-19,2016,4,19,2,Tuesday,April,16
20160531,2016-05-31,2016,5,31,2,Tuesday,May,22
20160831,2016-08-31,2016,8,31,3,Wednesday,August,35
20160916,2016-09-16,2016,9,16,3,Friday,September,37
20170402,2017-04-02,2017,4,2,2,Sunday,April,13
20170812,2017-08-12,2017,8,12,3,Saturday,August,32
20171026,2017-10-26,2017,10,26,4,Thursday,October,43
20171202,2017-12-02,2017,12,2,4,Saturday,December,48
20180115,2018-01-15,2018,1,15,1,Monday,January,3
20180420,2018-04-20,2018,4,20,2,Friday,April,16
20180426,2018-04-26,2018,4,26,2,Thursday,April,17
20181128,2018-11-28,2018,11,28,4,Wednesday,November,48
20160106,2016-01-06,2016,1,6,1,Wednesday,January,1
20160524,2016-05-24,2016,5,24,2,Tuesday,May,21
20161015,2016-10-15,2016,10,15,4,Saturday,October,41
20161017,2016-10-17,2016,10,17,4,Monday,October,42
20170223,2017-02-23,2017,2,23,1,Thursday,February,8
20170331,2017-03-31,2017,3,31,1,Friday,March,13
20170530,2017-05-30,2017,5,30,2,Tuesday,May,22
20170615,2017-06-15,2017,6,15,2,Thursday,June,24
20170622,2017-06-22,2017,6,22,2,Thursday,June,25
20170822,2017-08-22,2017,8,22,3,Tuesday,August,34
20171027,2017-10-27,2017,10,27,4,Friday,October,43
20160303,2016-03-03,2016,3,3,1,Thursday,March,9
20160409,2016-04-09,2016,4,9,2,Saturday,April,14
20170519,2017-05-19,2017,5,19,2,Friday,May,20
20170610,2017-06-10,2017,6,10,2,Saturday,June,23
20170921,2017-09-21,2017,9,21,3,Thursday,September,38
20180116,2018-01-16,2018,1,16,1,Tuesday,January,3
20161211,2016-12-11,2016,12,11,4,Sunday,December,49
20170910,2017-09-10,2017,9,10,3,Sunday,September,36
20180308,2018-03-08,2018,3,8,1,Thursday,March,10
20170102,2017-01-02,2017,1,2,1,Monday,January,1
20170405,2017-04-05,2017,4,5,2,Wednesday,April,14
20170413,2017-04-13,2017,4,13,2,Thursday,April,15
20180403,2018-04-03,2018,4,3,2,Tuesday,April,14
20161006,2016-10-06,2016,10,6,4,Thursday,October,40
20170129,2017-01-29,2017,1,29,1,Sunday,January,4
20180218,2018-02-18,2018,2,18,1,Sunday,February,7
20160316,2016-03-16,2016,3,16,1,Wednesday,March,11
20160802,2016-08-02,2016,8,2,3,Tuesday,August,31
20161024,2016-10-24,2016,10,24,4,Monday,October,43
20170214,2017-02-14,2017,2,14,1,Tuesday,February,7
20160822,2016-08-22,2016,8,22,3,Monday,August,34
20161221,2016-12-21,2016,12,21,4,Wednesday,December,51
20171211,2017-12-11,2017,12,11,4,Monday,December,50
20160614,2016-06-14,2016,6,14,2,Tuesday,June,24
20161003,2016-10-03,2016,10,3,4,Monday,October,40
20170210,2017-02-10,2017,2,10,1,Friday,February,6
20170316,2017-03-16,2017,3,16,1,Thursday,March,11
20171103,2017-11-03,2017,11,3,4,Friday,November,44
20171126,2017-11-26,2017,11,26,4,Sunday,November,47
20171221,2017-12-21,2017,12,21,4,Thursday,December,51
20170613,2017-06-13,2017,6,13,2,Tuesday,June,24
20170617,2017-06-17,2017,6,17,2,Saturday,June,24
20171005,2017-10-05,2017,10,5,4,Thursday,October,40
20171031,2017-10-31,2017,10,31,4,Tuesday,October,44
20171121,2017-11-21,2017,11,21,4,Tuesday,November,47
20180220,2018-02-20,2018,2,20,1,Tuesday,February,8
20160519,2016-05-19,2016,5,19,2,Thursday,May,20
20160904,2016-09-04,2016,9,4,3,Sunday,September,35
20171206,2017-12-06,2017,12,6,4,Wednesday,December,49
20180304,2018-03-04,2018,3,4,1,Sunday,March,9
20160228,2016-02-28,2016,2,28,1,Sunday,February,8
20160705,2016-07-05,2016,7,5,3,Tuesday,July,27
20160815,2016-08-15,2016,8,15,3,Monday,August,33
20161217,2016-12-17,2016,12,17,4,Saturday,December,50
20170715,2017-07-15,2017,7,15,3,Saturday,July,28
20170821,2017-08-21,2017,8,21,3,Monday,August,34
20180418,2018-04-18,2018,4,18,2,Wednesday,April,16
20170304,2017-03-04,2017,3,4,1,Saturday,March,9
20170914,2017-09-14,2017,9,14,3,Thursday,September,37
20171028,2017-10-28,2017,10,28,4,Saturday,October,43
20180430,2018-04-30,2018,4,30,2,Monday,April,18
20160125,2016-01-25,2016,1,25,1,Monday,January,4
20160304,2016-03-04,2016,3,4,1,Friday,March,9
20170606,2017-06-06,2017,6,6,2,Tuesday,June,23
20170916,2017-09-16,2017,9,16,3,Saturday,September,37
20170926,2017-09-26,2017,9,26,3,Tuesday,September,39
20171230,2017-12-30,2017,12,30,4,Saturday,December,52
20180227,2018-02-27,2018,2,27,1,Tuesday,February,9
20181229,2018-12-29,2018,12,29,4,Saturday,December,52
20160314,2016-03-14,2016,3,14,1,Monday,March,11
20160828,2016-08-28,2016,8,28,3,Sunday,August,34
20170514,2017-05-14,2017,5,14,2,Sunday,May,19
20160102,2016-01-02,2016,1,2,1,Saturday,January,53
